name,category,month,due,description,link
中央社海外特派員,工讀獎助,5,,,https://cna-octp.com.tw/
READr 資料新聞學工作坊,工讀獎助,5,,每年五月公告。若對 #資料新聞 有興趣，想增進蒐集、分析資料的技能、產出資料新聞報導，可參加 READr 每年於暑期開設的 「資料新聞工作坊」！,
端傳媒「專題記者成長計劃」,工讀獎助,8,2025/08/13,2025暑假為第三期，計劃將於2025年9月開始，到2026年1月完結。項目通過遠程協作方式進行，入選記者需要參與每週一次的專題會或項目推進會議，與導師一對一學習，並完成至少一篇深度報導或多篇深度解析，或一份讓新聞與受眾得以互動的作品。,https://theinitium.com/article/20250723-initiumnews-mentorship-project?fbclid=IwY2xjawLt_fNleHRuA2FlbQIxMABicmlkETFhOFZUaEdrc0h2elJFdTFDAR7hRzEu1IAmDiNWBr6v4IOh9J9dp4WZMHZqDKQdM2Ssg0h5c-WrptCfAI8HQg_aem_Pfr-LY9AxzQyGqHyDE1IRA&utm_content=buffer3ab5c&utm_medium=social&utm_source=facebook&utm_campaign=fb_post
資訊社會年會投稿,學術研討,7,2025/07/15,每年七月開始徵稿，通常在上學期期中舉辦。簽訂指導並經指導教授同意且題目相符，可遞交申請抵免計劃書口試。,https://www.tais.org.tw/zh-TW/article/133
臺灣傳播年會投稿,學術研討,2,2025/03/02,每年二月底到三月徵稿，2025年於03/02截稿，通常在下學期期末後舉辦。簽訂指導並經指導教授同意且題目相符，可遞交申請抵免計劃書口試。,
小畢典,學生活動,6,,,
新生座談,學生活動,8,,每年八月底開學前舉行,
春季海外交換,海外交換,4,,每年約於交換學期的前年四月舉辦,
秋季海外交換,海外交換,11,,每年約於出國當年的前年十一月舉辦,
上學期所內工讀,工讀獎助,8,,,
下學期所內工讀,工讀獎助,1,,,
全球華文永續獎,新聞報獎,6,2025/06/30,每年六月舉辦，六月底截止。有平面、融媒體、長影音、短影音等獎項。過去曾有不少學生獲獎。須為競賽前一年發表之作品，例如2024/07/01~2025/06/30,https://www.newsaward.org/
曾虛白先生新聞獎,新聞報獎,7,2025/07/15,每年七月舉辦，七月中截止，分文字、影音、短影音三種獎項。接受競賽前往前回溯約一年的作品，例如「須為113年7月1日至114年6月30日由學生在學時期所製作之作品（含應屆畢業生）」,https://www.cna.com.tw/project/thp_award/
吳舜文新聞獎,新聞報獎,7,2025/07/31,每年七月舉辦，七月底截止，有學生新聞報導獎。,https://www.vivianwu.org.tw/
SND Creative Competition: Best of News Design,新聞報獎,1,2025/02/14,每年約一月徵稿，二月中停止受理，包含Webpage、Interaction、Infographic的設計,https://sndcontests.awardsplatform.com/
申請碩士考試截止,學位考試,12,2025/12/01,每年大約12月初與四月底左右，截止後無法再申請,
申請碩士考試截止,學位考試,4,2025/04/30,每年大約12月初與四月底左右，截止後無法再申請,
